KIC,Teff_spec,e_Teff_spec,[M/H],e_[M/H],Dnu,e_Dnu,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,astrometric_params_solved,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,rpgeo,ebv,phot_g_mean_mag_corr,logg,Teff,e_Teff,luminosity,e_luminosity,numax_yu,e_numax_yu,numax,e_numax
1027337,4635.539,100,0.23118845,0.06,6.937,0.014,291.3341969676259,0.0095583815,36.78659971011307,0.010948698,0.7535090149684879,0.012313737,12.639551,11.307577,12.040522,31,1.4454643,,57.796400942456586,10.326,0.022,9.766,0.022,9.628,0.018,1300.54846,0.08,12.040522,2.770453450844106,4633,100,27.25318790968788,1.4404310150814812,74.21,0.68,73.23925249079026,0.611628062017589
1163359,4578.984,100,-0.41342154,0.06,2.642,0.015,291.49329203238824,0.010811771,36.84878141795031,0.012707587,0.4138685533227532,0.013734605,12.584608,11.245326,11.984016,31,1.4456687,,57.82150781677535,10.264,0.021,9.65,0.019,9.558,0.019,2258.33228,0.08,11.984016,2.228347633670549,4585,100,89.66097883597851,7.896483061504668,21.43,0.41,21.1696136811234,0.274592560384993
1294122,4805.9585,100,-0.05419755,0.06,7.022,0.016,291.2798932851551,0.0070213517,36.90697293151617,0.008370019,0.7606062584199617,0.009210076,12.465071,11.201093,11.905418,31,1.4590774,,57.92405294198178,10.265,0.021,9.744,0.02,9.642,0.018,1266.42419,0.08,11.905418,2.7864675808021984,4759,100,27.66984843072677,1.2248665663070533,75.62,0.84,73.86125828996947,0.634861530586303
1294385,4823.562,100,0.079879455,0.06,9.09,0.016,291.3395427686488,0.0085586365,36.90271759682975,0.009413204,1.5610254117167115,0.010487463,11.149885,9.947653,10.624201,95,,1.4742403,57.90697743745339,9.085,0.018,8.595,0.021,8.465,0.018,630.985229,0.04,10.624201,2.9372367472567875,4818,100,20.79152447056716,0.7357362070353872,106.81,1.08,104.4099565023402,0.905507972705008
1296068,4586.5454,100,-0.01016955,0.06,6.14,0.013,291.6867203755868,0.008104507,36.97083995710188,0.009816385,0.5942999069120769,0.01084808,13.458665,12.023516,12.800625,31,1.4284673,,57.89630487920745,10.986,0.022,10.401,0.021,10.265,0.019,1648.3833,0.099999994,12.800625,2.672638437073201,4510,100,23.087333131049053,1.3136835825713984,59.56,0.49,58.5267405314833,0.357769696276373
1296507,4913.7866,100,-0.01884455,0.06,10.333,0.019,291.78385981289614,0.009512884,36.95599888551629,0.0114572765,0.6168300307822636,0.01250895,13.326057,12.113468,12.795736,31,1.4703066,,57.860542245801206,11.24,0.027,10.719,0.029,10.624,0.019,1588.10071,0.14,12.795736,3.0151513546366173,5010,100,20.69836203502438,1.2970599501078368,126.62,2.42,123.5302257084476,1.43593037930827
1429505,4682.17,100,-0.10284155,0.06,5.755,0.01,290.73697859533297,0.008114502,37.03683101147868,0.009258289,0.7923966648641775,0.010002147,12.561111,11.171025,11.930394,31,1.4355061,,58.16598023759081,10.172,0.021,9.591,0.021,9.472,0.017,1222.55713,0.14999999,11.930394,2.648642998549747,4677,100,29.573897995425703,1.3401391205344415,55.78,0.5,55.07364220172296,0.366663442126147
1431059,4802.1313,100,0.07254245,0.06,13.67,0.018,291.1278866504116,0.0087701315,37.02469177252477,0.009474225,0.7664758624823599,0.010753041,13.677309,12.323194,13.067611,31,1.4418805,,58.07032220700278,11.337,0.021,10.817,0.022,10.69,0.019,1259.20398,0.14999999,13.067611,3.140704816910263,4770,100,10.644148755159842,0.507591328563981,171.02,0.86,170.41995510865542,0.585049357420085
1433593,4799.423,100,0.10902845,0.06,6.241,0.013,291.67910075643704,0.009204334,37.07216935373116,0.010779034,0.8204895802323167,0.011806519,12.08217,10.771565,11.498663,31,1.4518325,,57.99535626737524,9.825,0.021,9.304,0.021,9.168,0.018,1170.81555,0.17999999,11.498663,2.7472647890420867,4904,100,41.293667069207665,2.0168481640067597,69.14,0.59,65.95699845308056,0.601997378472492
1433730,4732.079,100,-0.079364546,0.06,4.085,0.019,291.7091753214863,0.008325909,37.05150634922165,0.010304732,0.9016683661632224,0.011225855,11.512029,10.099966,10.869442,31,1.4332563,,57.96884800925969,9.097,0.022,8.507,0.018,8.39,0.018,1077.03821,0.16,10.869442,2.5105256422220763,4666,100,61.98476402157343,2.819064411775603,40.37,0.54,38.96680649321555,0.437795088346787
1433803,4735.8457,100,0.23572846,0.06,12.178,0.015,291.72570630878766,0.008906871,37.03846643288156,0.010655472,2.5376460812542923,0.011726451,10.70855,9.456489,10.152799,31,1.4616588,,57.95265921016424,8.538,0.02,8.046,0.02,7.942,0.018,390.953979,0.03,10.152799,3.0811360831889325,4718,100,11.96738960822908,0.4114611956240717,150.14,1.04,150.12379634181949,0.605001626167788
1569842,4820.049,100,-0.27627155,0.06,11.768,0.018,290.6215822020793,0.009122543,37.174540900244665,0.010217928,1.6035768426082415,0.011124568,11.572157,10.41527,11.073869,31,1.480734,,58.32325796363169,9.589,0.022,9.074,0.016,8.989,0.018,612.783813,0.07,11.073869,3.038864729899298,4959,100,13.264814751412594,0.4954307310344541,135.02,0.65,133.9701631916314,0.565901718633171
1572175,4737.464,100,-0.048184548,0.06,5.369,0.012,291.14960811775524,0.008291917,37.105632339739095,0.00995467,0.6662652094174603,0.010670084,12.427097,11.071624,11.816469,31,1.442015,,58.14351621609547,10.078,0.021,9.509,0.02,9.361,0.017,1434.85461,0.14999999,11.816469,2.653211987630527,4715,100,45.82081477386142,2.3416798815449944,56.04,0.67,54.53415881009855,0.418889451097198
1717618,4913.6255,100,0.06142745,0.06,9.673,0.016,290.59640585080854,0.015390118,37.20577620774794,0.018864904,0.6480735303632758,0.020077832,12.200074,10.993751,11.674298,31,1.4716017,,58.3587116375574,10.109,0.021,9.619,0.016,9.527,0.018,1480.73706,0.12,11.674298,2.993665012546932,4982,100,47.52707406178095,4.004580848666894,120.51,1.17,118.7303278973414,0.766003546387719
1719422,4939.2964,100,-0.28475153,0.06,11.316,0.017,291.0363627795833,0.0101264445,37.20704817034571,0.012289502,0.6280306132447818,0.013139272,13.482391,12.197266,12.913325,31,1.4559879,,58.26563911360606,11.275,0.021,10.747,0.022,10.652,0.018,1551.3822,0.17,12.913325,3.0475358285743663,4941,100,19.031497885665793,1.1810357865952383,136.07,0.8,135.62097301228638,0.63277965707691
1720241,5054.165,100,-0.16805154,0.06,15.984,0.035,291.2469061646997,0.010725704,37.24169047530276,0.012549068,0.874868724624073,0.013626071,13.5563,12.188326,12.93981,31,1.441053,,58.2532476499069,11.225,0.021,10.721,0.023,10.599,0.02,1120.44421,0.17,12.93981,3.2452243646668664,4823,100,9.768307215108877,0.4992397890561824,212.06,2.91,211.44617494890565,0.651139284720376
1723752,5010.734,100,-0.15491155,0.06,15.042,0.075,292.0057097420336,0.006821062,37.29981938760472,0.008323603,0.964338468920796,0.008838147,12.841152,11.64237,12.318432,31,1.4725052,,58.14110449388632,10.777,0.022,10.288,0.021,10.185,0.018,1023.5163,0.0740379,12.318432,3.2119746330676935,4901,100,11.871382190716124,0.4802654653824065,197.28,0.86,196.40881053474695,0.840085611184984
1723843,4959.6084,100,-0.23885155,0.06,9.41,0.023,292.01883942322746,0.008346518,37.23181963086892,0.009943612,0.7722630467042997,0.011124562,12.7863455,11.503056,12.218963,31,1.4567072,,58.072919697994,10.54,0.023,10.02,0.022,9.873,0.019,1281.44836,0.13,12.218963,2.948088348555171,4802,100,23.93910817348393,1.1912466120720175,108.0,0.77,109.45847764985646,0.481828659580748
1726291,4804.5894,100,-0.38607156,0.06,12.864,0.024,292.5213808164403,0.009482606,37.29640835724047,0.010883355,0.8494214560476265,0.012408791,13.448431,12.148189,12.873061,31,1.4537629,,58.020909363275614,11.206,0.024,10.679,0.022,10.547,0.025,1160.26038,0.14,12.873061,3.083251859801098,4822,100,10.691359407723567,0.5387999107621706,149.79,0.88,149.40593621153036,0.586399455349675
1864183,4608.8945,100,0.15146846,0.06,5.505,0.015,290.4821193054159,0.009354966,37.37245066831578,0.011200387,1.0280045236392883,0.011664641,11.941761,10.546872,11.30914,31,1.4355656,,58.54360013534956,9.569,0.022,8.998,0.018,8.835,0.018,944.687073,0.12,11.30914,2.63209707105593,4631,100,30.401979650108203,1.3241147187637117,54.12,0.48,53.260557822072,0.421643299315541
1864855,4923.739,100,-0.05316055,0.06,10.444,0.011,290.6365983498323,0.009946403,37.34553501856506,0.011506024,1.144080758875356,0.012657713,12.074826,10.808391,11.515633,31,1.4594034,,58.48482440769759,9.908,0.022,9.391,0.021,9.299,0.018,848.23468,0.12,11.515633,3.0092333927052075,4881,100,18.52048212431533,0.7983586078124034,124.78,1.45,123.30930786324792,1.16327904094334
1865262,4786.109,100,-0.31148154,0.06,5.571,0.012,290.7331514920072,0.0071892575,37.37740726234412,0.008226973,0.5784263518034349,0.009071274,13.082601,11.723645,12.471404,31,1.4427327,,58.49489227407993,10.719,0.021,10.138,0.016,10.042,0.018,1702.9834,0.14999999,12.471404,2.634554770152614,4704,100,34.42366115311575,1.769319743480576,53.41,0.44,52.70022629747323,0.353493061044891
1865747,4748.5654,100,0.01881445,0.06,6.11,0.014,290.8477710126134,0.007842234,37.37611696931583,0.009471393,1.2917715601248456,0.010228445,11.344966,10.021302,10.752057,31,1.4488387,,58.46904959375249,9.037,0.02,8.496,0.02,8.389,0.017,760.760925,0.12249927,10.752057,2.7088840347294925,4731,100,31.724008935775643,1.1961351319766909,63.63,0.49,62.66264403665619,0.376539428908684
1867706,4840.412,100,0.13646846,0.06,8.758,0.016,291.3308554231528,0.010550883,37.31113627659415,0.012586415,1.050766716008102,0.013304947,12.262436,10.828468,11.606193,31,1.427792,,58.3016747373436,9.791,0.02,9.263,0.022,9.128,0.018,926.915527,0.25681606,11.606193,2.93115003677733,4857,100,26.657975678190457,1.2016437351047689,105.14,0.68,103.93533925348882,0.489775825216077
1870196,4866.867,100,-0.000614,0.06,14.737,0.052,291.88051470586527,0.008237009,37.3475112710323,0.0100370245,0.9308850238570386,0.0106702745,13.224522,11.9369,12.6523695,31,1.4548923,,58.21492804427896,10.996,0.029,10.465,0.033,10.376,0.022,1060.40051,0.08,12.6523695,3.193187751583639,4737,100,9.79511493038365,0.4631859443627988,191.7,1.08,190.5160820511091,0.695715828583843
1870433,5034.968,100,0.00188545,0.06,16.108,0.023,291.9230785201702,0.008836365,37.33513545799052,0.010822049,0.8603933230837301,0.011567339,13.212951,11.972516,12.666981,31,1.4644998,,58.19352351736992,11.066,0.027,10.609,0.03,10.487,0.02,1148.51367,0.08,12.666981,3.252010821724275,4850,100,11.0080820064782,0.545643567279356,215.81,3.19,220.14356133621715,2.30619379562985
1871314,4542.263,100,0.30052844,0.06,5.691,0.012,292.0995580419081,0.008439101,37.38995437727589,0.009520622,0.4180671179768169,0.0105084665,14.039849,12.549507,13.347385,31,1.416904,,58.206419173457725,11.448,0.022,10.855,0.02,10.705,0.02,2245.08423,0.14,13.347385,2.6599773608544437,4490,100,27.883745314298615,1.926961091581312,58.13,0.52,57.74639071732392,0.432400571427897
1871927,4654.9487,100,0.17207845,0.06,6.418,0.013,292.2333145821114,0.008519739,37.38864254304524,0.009196662,0.5851346862625256,0.010590379,13.43983,12.024145,12.792585,31,1.4305694,,58.17490221448699,10.988,0.021,10.379,0.022,10.252,0.017,1677.4812,0.13,12.792585,2.719454128516918,4578,100,25.16919892888472,1.4156695115657865,65.85,0.59,65.11386789081166,0.505365248518274
1872469,4637.1064,100,0.09528345,0.06,5.702,0.015,292.34910436324367,0.008717464,37.30429181585394,0.009872233,0.3799654472988441,0.010938581,14.064832,12.630416,13.407223,31,1.4275337,,58.06776864898031,11.578,0.022,10.975,0.022,10.847,0.019,2443.77783,0.13,13.407223,2.654794899171738,4548,100,30.4119739807327,2.3280370004560424,56.85,0.58,55.92927503465716,0.336315706396699
1872517,4545.23,100,-0.35134155,0.06,3.279,0.014,292.3576689339351,0.009075214,37.31396876253264,0.010042052,0.3938992887508857,0.01124746,13.516878,12.092002,12.866092,31,1.4301828,,58.07509263242925,11.029,0.022,10.41,0.022,10.269,0.017,2479.51172,0.13,12.866092,2.303279681361436,4520,100,52.3174642292888,4.130683364762628,25.56,0.41,25.15217786069772,0.313316337221674
1996078,4770.6636,100,-0.11766155,0.06,7.758,0.016,286.31205929416643,0.011828359,37.4858537652877,0.012791864,0.5281436964542922,0.014775564,13.575173,12.2796,12.998473,31,1.4529747,,59.46058980376419,11.365,0.021,10.812,0.02,10.713,0.018,1826.39087,0.08,12.998473,2.8235256974043335,4724,100,21.01832653726924,1.6169985945650964,82.66,0.81,81.94934312471091,0.647296775435781
1996415,4737.869,100,0.10981845,0.06,10.8,0.031,286.41370612004755,0.009500894,37.42733521891169,0.01090962,0.6508237488056623,0.012458632,13.724998,12.385264,13.121824,31,1.4442599,,59.38573366132202,11.408,0.022,10.903,0.023,10.719,0.017,1472.96851,0.099999994,13.121824,3.0036874843137125,4682,100,13.27491926142931,0.7672507503764088,125.59,1.01,125.12001856871753,0.90792150779102
2011891,4679.568,100,0.27230844,0.06,9.698,0.016,290.82483478164005,0.0080085015,37.47088146949323,0.00944857,1.1402688831789678,0.010057121,12.401033,11.045952,11.788219,31,1.4414548,,58.56520488125394,10.061,0.02,9.521,0.022,9.369,0.017,851.897461,0.102154925,11.788219,2.95604364156909,4661,100,15.312516743214177,0.5950934962770846,113.24,0.65,112.5623016906994,0.543048089042851
2016978,4724.959,100,0.02723345,0.06,7.207,0.019,291.98851392370693,0.0080167595,37.42190311683429,0.009986836,0.5043921380903963,0.010610854,13.766505,12.375292,13.13438,31,1.435449,,58.26207091743847,11.383,0.022,10.777,0.019,10.669,0.019,1867.89233,0.14,13.13438,2.7836372090481323,4657,100,22.55233131242692,1.3766198287185247,75.77,0.53,74.39101889427683,0.411442913720296
2018283,4788.483,100,0.18298845,0.06,11.175,0.013,292.2874603404349,0.008337959,37.446269539125055,0.009237094,0.7521666298583617,0.01028474,13.429655,12.0597105,12.809105,31,1.4384629,,58.217827507041456,11.099,0.022,10.514,0.022,10.39,0.019,1312.40381,0.14,12.809105,3.040131484846079,4720,100,14.764672169777672,0.7073308904949362,135.86,1.35,133.8871328706142,0.870398045801888
2018392,4674.5347,100,-0.14548154,0.06,3.795,0.013,292.31334515502755,0.015265042,37.49089703023864,0.017391112,0.5479382979502074,0.019089544,12.380551,10.981387,11.757214,31,1.4344181,,58.2546903261957,9.902,0.02,9.371,0.022,9.213,0.017,1710.50647,0.14324988,11.757214,2.4322659372010205,4599,100,71.98016973401201,6.582595886502304,33.92,0.55,33.07430266441325,0.409711406099829
2018537,4834.8896,100,0.23256846,0.06,13.828,0.018,292.3442424303697,0.0073483405,37.46889790882596,0.009056036,0.904647391254946,0.009407157,13.247471,11.891513,12.635027,31,1.4415144,,58.22657766016798,10.893,0.021,10.387,0.022,10.247,0.019,1094.0437,0.13561386,12.635027,3.170373251727574,4739,100,11.846147286797873,0.4967382628419114,182.49,1.21,180.93657215915644,0.716146790526638
2140446,4561.984,100,0.25325844,0.06,5.673,0.012,285.9347464462909,0.008650374,37.57631044541865,0.01031725,0.8399176980212889,0.011451757,12.433837,11.00661,11.779479,31,1.4279828,,59.61406960009885,9.991,0.022,9.399,0.021,9.252,0.018,1148.41626,0.08,11.779479,2.6569402619309237,4503,100,27.8654635649238,1.3188776793565804,57.6,0.56,56.89706906941373,0.439208211741163
2141255,4946.9673,100,-0.21607155,0.06,12.371,0.022,286.2185142728979,0.00925947,37.52075294447032,0.009417812,0.7553811613273579,0.010820855,13.256726,12.046979,12.72823,31,1.4706628,,59.51092193441322,11.185,0.02,10.672,0.022,10.574,0.018,1301.94849,0.08,12.72823,3.0838436173869637,4888,100,13.427921517662448,0.649192649901484,147.82,0.88,147.42622309557964,0.753431671898039
2141932,4394.602,100,0.22242846,0.06,3.014,0.021,286.4233184306179,0.0089158965,37.5452743917432,0.009283168,0.2888518183606622,0.010570383,13.834956,12.312979,13.125496,31,1.4124491,,59.499065921508425,11.215,0.021,10.558,0.02,10.411,0.019,3150.34985,0.12,13.125496,2.2780982223449264,4395,100,67.94879423765155,6.241905057684935,24.53,0.45,23.973096886728488,0.312548809099473
2155869,4735.5386,100,0.15606846,0.06,8.116,0.019,290.4477218894899,0.009345382,37.51592994258785,0.009760184,0.6253384006137306,0.011104631,13.251291,11.913787,12.660399,31,1.44599,,58.689161524302406,10.94,0.02,10.391,0.021,10.276,0.019,1562.81946,0.099999994,12.660399,2.8717053242463217,4679,100,22.74426007497612,1.257210994623602,92.7,2.0,91.49124784049384,0.856133640005342
2157059,4391.9985,100,-0.21259154,0.06,2.992,0.016,290.7359813127819,0.008887738,37.54766222791597,0.01052959,0.338138985340511,0.011093354,13.764863,12.286177,13.082244,31,1.4204805,,58.65821158542752,11.214,0.021,10.543,0.02,10.411,0.017,2747.65845,0.14,13.082244,2.263386675875768,4462,100,54.45919802956911,4.619907005154744,23.72,0.18,23.27942694033492,0.139370224005691
2157650,4841.016,100,0.12853844,0.06,11.328,0.024,290.8643788315427,0.008554297,37.57493941476949,0.009735327,0.6359196434962634,0.010460234,13.66301,12.345425,13.072523,31,1.4495304,,58.65682368121005,11.39,0.021,10.864,0.022,10.755,0.017,1512.30542,0.1137116,13.072523,3.050482484905416,4762,100,14.283468053686155,0.7439290253743138,138.38,0.81,138.18122164580575,0.703517151749353
2159864,4860.783,100,-0.16017155,0.06,6.946,0.017,291.3801549177292,0.0077590523,37.55399836812466,0.010135886,0.4117270663732009,0.010480802,13.814226,12.483657,13.218754,31,1.4479718,,58.52423935574992,11.52,0.021,10.957,0.022,10.866,0.018,2267.43042,0.17999999,13.218754,2.7960508973406055,4851,100,31.314802162718365,2.1765028872043732,76.87,0.82,76.80951474449739,0.505414896407653
2160901,4658.614,100,0.18765846,0.06,5.673,0.013,291.599337864268,0.0072566676,37.53959970078999,0.008645336,0.6979456230296993,0.0093857525,12.654535,11.246013,12.011012,31,1.4319719,,58.46195567981153,10.214,0.021,9.641,0.016,9.504,0.019,1396.64233,0.10803408,12.011012,2.670741927424001,4565,100,34.36274715587336,1.610606829670683,58.84,0.88,57.26812255057946,0.619362310717751
2161831,4918.632,100,-0.31207156,0.06,12.406,0.022,291.79027556849843,0.0074983896,37.52180467213702,0.009076919,0.7168503810404242,0.009748685,13.70577,12.368777,13.107699,31,1.4470524,,58.40234642452455,11.361,0.025,10.906,0.032,10.739,0.018,1340.67834,0.19,13.107699,3.0757857511429165,4870,100,12.519010237592806,0.6057227671117626,145.52,0.87,144.84206695761213,0.64986542244924
2164262,4661.2134,100,0.09790545,0.06,5.97,0.013,292.3101242335132,0.008008127,37.54103660252404,0.00943782,0.5805051543504238,0.01012561,13.238284,11.828611,12.594839,31,1.4322151,,58.30345105268406,10.771,0.022,10.205,0.022,10.057,0.019,1706.3894,0.14,12.594839,2.6868760610498894,4599,100,31.291372622605863,1.730242789464704,61.05,0.52,60.43284349677186,0.41497581310674
2164379,4655.9663,100,0.39018846,0.06,10.26,0.018,292.33641387243705,0.008213265,37.57076546717835,0.010001017,0.6134498432730334,0.010640308,13.94262,12.521412,13.291023,31,1.4292337,,58.32592846890829,11.497,0.021,10.909,0.022,10.779,0.017,1554.90063,0.14668106,13.291023,2.983587591891446,4637,100,13.779471950570713,0.7398039179612654,120.96,0.76,120.51224175459268,0.575520812327443
2165198,4812.489,100,0.12179845,0.06,7.742,0.014,292.50975542448555,0.006624707,37.59408807082228,0.0075559933,0.7373810719701291,0.008418914,12.787835,11.46331,12.193124,31,1.4476315,,58.30857213822707,10.512,0.022,9.958,0.02,9.843,0.018,1342.56067,0.101173565,12.193124,2.856294136273139,4711,100,25.236362985135045,1.110753989854862,88.75,1.06,85.56921135850978,0.881401100242378
2166223,4791.1406,100,0.073256455,0.06,6.491,0.017,292.7394954707976,0.0090246,37.528970938328136,0.011203243,0.4612402828542072,0.012223105,13.62081,12.246487,12.998268,31,1.4384222,,58.19330934071901,11.226,0.02,10.691,0.02,10.55,0.017,2070.68335,0.14999999,12.998268,2.7291321751555944,4700,100,31.693863234631632,2.3117496569813536,66.37,0.67,65.48607181328615,1.30101955015079
2167774,4722.079,100,0.02222045,0.06,5.794,0.009,293.07086017456163,0.011624024,37.52348617300093,0.015044991,1.7703316265885891,0.014760484,10.426774,9.169556,9.871409,31,1.4614242,,58.11096111767697,8.265,0.027,7.695,0.021,7.605,0.017,558.097534,0.08,9.871409,2.679981855011749,4767,100,35.14394599948676,1.4656109989407184,59.7,0.56,59.00654598444819,0.391516472281625
2283721,4745.838,100,-0.23167154,0.06,7.787,0.011,286.2241747860129,0.01064175,37.68968373079058,0.013459981,0.5795951098303675,0.013241231,13.492032,12.197562,12.916179,31,1.4536452,,59.67474682606454,11.266,0.02,10.709,0.023,10.59,0.017,1673.36182,0.099999994,12.916179,2.806719118426789,4741,100,20.405142375360104,1.345767602276636,79.73,0.61,79.05601801845711,0.459192507088076
2284679,4879.139,100,-0.47791156,0.06,16.15,0.024,286.53066717782826,0.020248102,37.66943533983936,0.022058126,1.6296642301773243,0.024229975,11.848885,10.732727,11.37384,31,1.4901481,,59.60117846510172,9.923,0.024,9.456,0.023,9.335,0.021,600.747986,0.06,11.37384,3.2078215511727435,5017,100,9.617244417065653,0.487481668403559,198.02,0.82,198.1531610486853,0.701421708362725
2285827,4759.95,100,0.22805846,0.06,13.21,0.018,286.9166534195238,0.008703637,37.67922473515615,0.009460287,0.8367300998102986,0.01056724,13.378465,12.067627,12.79064,31,1.4488122,,59.541668862899215,11.093,0.02,10.597,0.023,10.461,0.018,1179.09998,0.11,12.79064,3.129289950923293,4760,100,11.308948776101994,0.5123488582935165,167.32,1.04,166.82632403953036,0.761204315157622
2303101,4737.2075,100,0.20799845,0.06,13.872,0.041,291.4769071648431,0.008055821,37.67257534979704,0.010172352,0.737183411982801,0.01058356,13.770521,12.438941,13.172133,31,1.4469392,,58.61675869137892,11.495,0.021,10.963,0.016,10.831,0.019,1303.75916,0.12,13.172133,3.135304278459494,4764,100,9.973074582198809,0.4871856602034166,170.06,1.05,169.9459212996729,0.857870603353383
2303414,4774.324,100,-0.02546955,0.06,6.266,0.019,291.54711808277443,0.007689237,37.63803332460824,0.009607992,0.4114589646792456,0.010063281,13.816126,12.476743,13.21472,31,1.4450946,,58.568038717125766,11.518,0.021,10.946,0.018,10.81,0.019,2255.75293,0.14999999,13.21472,2.7212435123302288,4764,100,31.112009365636315,2.096955155499151,65.29,0.84,62.391232433431306,0.617671305002939
2305407,5024.1533,100,-0.12145155,0.06,13.082,0.024,291.99619638532533,0.006854317,37.691176631613935,0.007810443,0.8024126910403193,0.008609176,12.93396,11.730878,12.409152,31,1.4713888,,58.51850940179616,10.864,0.022,10.374,0.021,10.28,0.018,1231.12048,0.12,12.409152,3.149145777524418,5003,100,16.999066067806627,0.7284148194936613,170.48,3.35,171.1365507256467,1.74743374193345
2305479,4638.232,100,0.23849845,0.06,7.422,0.009,292.01204577720074,0.0072409757,37.69743974664537,0.0080025075,0.6687686407557267,0.008818849,13.288419,11.867818,12.637616,31,1.4291189,,58.52093273853952,10.811,0.022,10.26,0.021,10.094,0.018,1473.5603,0.12,12.637616,2.7982936170458115,4564,100,22.317385368584016,1.0502580120961866,79.1,0.61,78.4203961648333,0.467756546898967
2305590,4583.7725,100,-0.34765154,0.06,5.299,0.015,292.03677494231266,0.00916012,37.6106685491644,0.010634023,0.9202790949234764,0.011426754,12.186356,10.825078,11.574214,31,1.4411061,,58.43218216757092,9.829,0.022,9.235,0.019,9.128,0.018,1050.04529,0.14,11.574214,2.5918065390304856,4677,100,29.96357800693361,1.3562756600823658,49.46,0.42,48.53010498530626,0.320402594812398
2305987,4653.688,100,0.08371245,0.06,5.489,0.015,292.1178456859713,0.008178435,37.685446511665006,0.008979704,0.44539644298656,0.009965914,13.813129,12.35843,13.1440325,31,1.4234093,,58.48549517431916,11.298,0.021,10.635,0.019,10.546,0.018,2100.94312,0.16,13.1440325,2.628787240800086,4555,100,30.11133938574017,1.9027496472326249,53.45,1.46,51.68532276569063,0.603290053926642
2305992,4769.1206,100,0.03835045,0.06,8.88,0.014,292.1189357757759,0.006876394,37.665821682481614,0.007677341,0.9415066757366328,0.008456832,12.5814495,11.254415,11.986138,31,1.4458338,,58.466445570508895,10.294,0.02,9.736,0.019,9.614,0.017,1038.63245,0.13,11.986138,2.910481425843995,4752,100,19.29375264051635,0.7558154302535112,101.0,0.62,99.8923316044886,0.523865210086651
2307683,4764.1055,100,-0.23097154,0.06,4.309,0.012,292.48359351750935,0.010204019,37.68208981238441,0.010992797,0.7099546744715063,0.012492375,12.169089,10.817244,11.561226,31,1.4431732,,58.39879961147589,9.823,0.021,9.262,0.02,9.132,0.017,1351.02393,0.13,11.561226,2.507448368408242,4683,100,49.13844884356059,2.6681644091800223,39.95,0.51,38.96230527945854,0.347171349699053
2308429,4899.278,100,0.035208452,0.06,18.571,0.136,292.6409647963505,0.011267473,37.652276730616,0.012770618,0.9577166414778308,0.0142693715,13.491653,12.222572,12.928957,31,1.4588466,,58.334027283272405,11.321,0.028,10.788,0.025,10.663,0.026,1025.56006,0.114384435,12.928957,3.332012226259451,4853,100,7.578446508312965,0.3986414106576514,263.03,4.0,256.73194182953023,0.928545290336461
2422073,4499.2827,100,0.033396453,0.06,3.247,0.012,285.8875622936387,0.017708061,37.72169196350718,0.019766223,0.731646315761839,0.021969836,11.808067,10.384479,11.1552725,31,1.4292542,,59.764089031297125,9.357,0.021,8.726,0.021,8.593,0.017,1301.56848,0.08,11.1552725,2.310984233686633,4469,100,66.1302834113414,5.402408604914225,26.15,0.45,25.89097796839236,0.325526981797075
2422635,4852.9614,100,-0.03716555,0.06,9.384,0.013,286.07328683097944,0.007909364,37.723926722821005,0.009537666,0.8503153474368348,0.0100543415,12.587009,11.347726,12.04137,31,1.4639078,,59.734336668380216,10.484,0.022,9.961,0.019,9.847,0.018,1155.41296,0.089999996,12.04137,2.9484452611972363,4866,100,20.205311721597603,0.900615122756113,109.27,1.51,107.10683547778736,0.950006493264483
2424822,4831.9487,100,0.02843245,0.06,8.06,0.013,286.8132211101997,0.00855881,37.745958771648326,0.00922304,0.9147798980165106,0.010195469,12.224957,10.9488125,11.65899,31,1.4570171,,59.62529710791258,10.014,0.02,9.49,0.022,9.389,0.018,1054.16663,0.089999996,11.65899,2.886725662316136,4770,100,24.55443524091777,1.0395995006573422,95.0,0.9,92.39662388784994,0.716066586937286
2424955,4685.926,100,-0.060443547,0.06,5.378,0.01,286.85525000700494,0.0073357616,37.77950233009465,0.00810828,1.2335571922251778,0.008585735,11.32275,10.002557,10.732122,31,1.4497182,,59.65038551477613,9.035,0.023,8.483,0.016,8.335,0.017,797.437805,0.089999996,10.732122,2.61540893845545,4663,100,34.44460174002688,1.304474100889497,51.65,0.61,50.790252314329855,0.379781545163988
2425631,4568.8594,100,-0.12045155,0.06,2.568,0.011,287.07383676011045,0.0095559945,37.76289600604669,0.010471233,0.6561879807637119,0.011206913,11.660851,10.256405,11.022144,31,1.4331808,,59.59456626115144,9.223,0.041,8.636,0.033,8.477,0.017,1464.18774,0.11,11.022144,2.221538710226918,4542,100,96.35325915151104,6.021030668917014,21.12,0.35,20.599945855364616,0.209290112725232
2437191,4741.6123,100,0.12150845,0.06,11.123,0.044,290.2084486379075,0.008170664,37.79115509865632,0.009950487,0.8309335850772827,0.01022136,13.237273,11.894054,12.633096,31,1.4438767,,59.00498797639948,10.92,0.021,10.366,0.022,10.22,0.017,1188.6991,0.04,12.633096,3.03178178886807,4557,100,12.42653239736392,0.5604659257314983,133.93,1.06,131.2673128608505,0.587474018680383
