KIC,Teff_spec,e_Teff_spec,[M/H],e_[M/H],Dnu,e_Dnu,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,astrometric_params_solved,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,rpgeo,ebv,phot_g_mean_mag_corr,logg,Teff,e_Teff,luminosity,e_luminosity,numax_yu,e_numax_yu,numax,e_numax
7121616,4620.8965,100,-0.22026154,0.06,5.599,0.015,292.9481559068075,0.008951503,42.68217440059925,0.010786306,0.4175870858571197,0.010985335,13.921186,12.561325,13.308943,31,1.4419456,,63.0324105808932,11.577,0.021,10.96,0.017,10.842,0.017,2262.19971,0.12,13.308943,2.624888992490939,4636,100,27.23474802848268,1.9474819493412776,53.16,0.41,52.406823700414726,0.332038905739685
7121674,4886.0894,100,-0.15045154,0.06,5.844,0.017,292.96283638470817,0.020095292,42.62093948560256,0.022252746,1.2573510302468238,0.023692217,10.8720255,9.684722,10.355558,31,1.4764779,,62.97117253016215,8.818,0.021,8.329,0.024,8.232,0.015,786.992493,0.06,10.355558,2.7190242740049015,4875,100,41.533691732057186,2.479447148382725,64.21,0.61,63.075728647413754,0.403513517673123
7122640,4666.9243,100,-0.02741955,0.06,7.727,0.018,293.26142389942163,0.007899738,42.67711998042217,0.00948964,0.9255483149583792,0.009712086,12.417386,11.132156,11.846159,31,1.4548098,,62.948506902152616,10.233,0.018,9.673,0.017,9.57,0.02,1047.26257,0.089999996,11.846159,2.815058227581143,4766,100,20.29743607057517,0.8248360578026297,81.96,0.52,81.06339480963992,0.433497889446979
7122919,4978.5317,100,-0.112901546,0.06,10.829,0.014,293.34959020754263,0.00728029,42.66652902894551,0.01006419,0.8344401642497775,0.009016199,12.653722,11.450487,12.129217,31,1.4715343,,62.91615042233945,10.605,0.018,10.117,0.017,10.011,0.021,1179.83337,0.089999996,12.129217,3.043470526928438,4947,100,19.02292128126065,0.7867055021571847,134.27,1.09,132.21711666377948,1.16340012921572
7128663,4831.121,100,0.16150846,0.06,7.698,0.016,294.93397006569927,0.008718942,42.688802474686334,0.009705572,0.5107802967151043,0.010391888,13.647565,12.30502,13.043369,31,1.444026,,62.523536131188415,11.342,0.022,10.786,0.019,10.647,0.016,1867.05054,0.13,13.043369,2.875294352258359,4733,100,23.806336466418472,1.431262723001559,92.54,0.72,91.61905976286158,0.510396464652861
7129766,4628.2954,100,-0.23619154,0.06,3.029,0.017,295.20724572785844,0.0074404394,42.65533105551617,0.008149347,0.4805442435435014,0.008716402,12.709269,11.293158,12.063953,31,1.4308558,,62.41909683099565,10.236,0.02,9.603,0.019,9.469,0.012,2020.12671,0.14,12.063953,2.312783485019779,4548,100,74.4569988449981,4.139619477874092,25.89,0.52,25.45710284966632,0.270917076054203
7173885,4757.264,100,-0.14952154,0.06,6.844,0.015,281.19131397191177,0.007982356,42.79995513730683,0.009122096,0.5625652817642255,0.009376034,13.327654,12.033288,12.751965,31,1.4542296,,65.46198495206738,11.103,0.021,10.544,0.02,10.445,0.011,1745.2561,0.099999994,12.751965,2.744342716087408,4748,100,25.035363359084123,1.3342229770946863,68.98,0.41,68.25547594818325,0.374124848764887
7174636,4729.601,100,-0.042066548,0.06,7.351,0.019,281.60599822051984,0.0073899273,42.72817185227066,0.008891743,0.6757763590223262,0.008752374,13.088296,11.782939,12.506301,31,1.4509864,,65.3340040185315,10.817,0.022,10.296,0.018,10.164,0.011,1456.25342,0.06,12.506301,2.7937669157692975,4645,100,21.109488655668407,0.9853457703838552,77.52,0.62,76.33263415224815,0.391075530964465
7175826,4792.5596,100,-0.07572655,0.06,6.907,0.014,282.2302253559766,0.008342515,42.71587555957864,0.008989723,1.2415731099995408,0.0095849065,11.393447,10.155134,10.849695,31,1.4644041,,65.23185417061708,9.269,0.021,8.691,0.021,8.627,0.011,790.164307,0.049999997,10.849695,2.775457529269955,4743,100,27.023311835266085,1.0237943932541338,73.83,0.54,72.58567913358985,0.414162959541056
7177015,4737.1484,100,0.17009845,0.06,7.414,0.013,282.77098576358384,0.009181142,42.75999872779416,0.009960426,1.3936112703956018,0.009733174,11.261623,9.989145,10.696103,31,1.457313,,65.19347263604476,9.089,0.02,8.544,0.016,8.433,0.013,706.92804,0.07,10.696103,2.8263858701208977,4750,100,25.850313232072693,0.9428932439930956,83.5,0.87,81.54834602667576,0.689212886404713
