index, star_mass, Xinit, Yinit, Zinit, amlt, fov_shell, fov0_shell, fov_core, fov0_core
24113, 1.68982, 0.68590376, 0.29343536, 0.02066088, 2.619101, 0.007949, 0.003975, 0.016867, 0.008433
24114, 2.08982, 0.66314116, 0.32843536, 0.00842348, 2.269101, 0.001949, 0.000975, 0.011867, 0.005933
24115, 1.28982, 0.69212555, 0.25843536, 0.04943908, 1.569101, 0.005949, 0.002975, 0.001867, 0.000933
24116, 1.48982, 0.64871359, 0.34593536, 0.00535104, 2.444101, 0.004949, 0.002475, 0.014367, 0.007183
24117, 2.28982, 0.69196715, 0.27593536, 0.03209749, 1.744101, 0.000949, 0.000475, 0.004367, 0.002183
24118, 1.88982, 0.68667607, 0.31093536, 0.00238857, 1.394101, 0.006949, 0.003475, 0.009367, 0.004683
24119, 1.08982, 0.74450163, 0.24093536, 0.01456301, 2.094101, 0.002949, 0.001475, 0.019367, 0.009683
24120, 0.98982, 0.72538946, 0.26718536, 0.00742518, 1.481601, 0.002449, 0.001225, 0.015617, 0.007808
24121, 1.78982, 0.62673835, 0.33718536, 0.03607628, 2.181601, 0.006449, 0.003225, 0.005617, 0.002808
24122, 2.18982, 0.76451458, 0.23218536, 0.00330006, 2.531601, 0.000449, 0.000225, 0.000617, 0.000308
24123, 1.38982, 0.68127753, 0.30218536, 0.01653711, 1.831601, 0.004449, 0.002225, 0.010617, 0.005308
24124, 1.18982, 0.71331516, 0.28468536, 0.00199948, 2.006601, 0.005449, 0.002725, 0.003117, 0.001558
24125, 1.98982, 0.63530047, 0.35468536, 0.01001416, 1.306601, 0.001449, 0.000725, 0.013117, 0.006558
24126, 1.58982, 0.74536012, 0.24968536, 0.00495452, 1.656601, 0.007449, 0.003725, 0.018117, 0.009058
24127, 0.78982, 0.65580101, 0.31968536, 0.02451363, 2.356601, 0.003449, 0.001725, 0.008117, 0.004058
24128, 0.76482, 0.75944156, 0.23874786, 0.00181058, 1.590976, 0.004074, 0.002037, 0.013429, 0.006715
24129, 1.56482, 0.68210730, 0.30874786, 0.00914483, 2.290976, 0.000074, 0.000037, 0.003429, 0.001715
24130, 1.96482, 0.72216930, 0.27374786, 0.00408284, 2.640976, 0.006074, 0.003037, 0.008429, 0.004215
24131, 1.16482, 0.63603119, 0.34374786, 0.02022094, 1.940976, 0.002074, 0.001037, 0.018429, 0.009215
24132, 1.36482, 0.73733285, 0.25624786, 0.00641928, 2.115976, 0.003074, 0.001537, 0.005929, 0.002965
24133, 2.16482, 0.64230616, 0.32624786, 0.03144598, 1.415976, 0.007074, 0.003537, 0.015929, 0.007965
24134, 1.76482, 0.70615959, 0.29124786, 0.00259254, 1.765976, 0.001074, 0.000537, 0.010929, 0.005465
24135, 0.96482, 0.62583160, 0.36124786, 0.01292054, 2.465976, 0.005074, 0.002537, 0.000929, 0.000465
24136, 1.06482, 0.66036916, 0.33499786, 0.00463297, 1.853476, 0.005574, 0.002787, 0.004679, 0.002340
24137, 1.86482, 0.70710517, 0.26499786, 0.02789697, 2.553476, 0.001574, 0.000787, 0.014679, 0.007340
24138, 2.26482, 0.62814377, 0.36999786, 0.00185837, 2.203476, 0.007574, 0.003787, 0.019679, 0.009840
24139, 1.46482, 0.68854683, 0.29999786, 0.01145530, 1.503476, 0.003574, 0.001787, 0.009679, 0.004840
24140, 1.26482, 0.67940683, 0.31749786, 0.00309530, 2.378476, 0.002574, 0.001287, 0.017179, 0.008590
24141, 2.06482, 0.73370488, 0.24749786, 0.01879726, 1.678476, 0.006574, 0.003287, 0.007179, 0.003590
24142, 1.66482, 0.64058148, 0.35249786, 0.00692066, 1.328476, 0.000574, 0.000287, 0.002179, 0.001090
24143, 0.86482, 0.67640783, 0.28249786, 0.04109431, 2.028476, 0.004574, 0.002287, 0.012179, 0.006090
24144, 0.81482, 0.70464668, 0.28687286, 0.00848046, 2.597226, 0.006824, 0.003412, 0.017804, 0.008902
24145, 1.61482, 0.60236053, 0.35687286, 0.04076660, 1.897226, 0.002824, 0.001412, 0.007804, 0.003902
24146, 2.01482, 0.74434946, 0.25187286, 0.00377768, 1.547226, 0.004824, 0.002412, 0.002804, 0.001402
24147, 1.21482, 0.65931067, 0.32187286, 0.01881647, 2.247226, 0.000824, 0.000412, 0.012804, 0.006402
24148, 1.41482, 0.72822712, 0.26937286, 0.00240002, 1.722226, 0.001824, 0.000912, 0.000304, 0.000152
24149, 2.21482, 0.64860645, 0.33937286, 0.01202069, 2.422226, 0.005824, 0.002912, 0.010304, 0.005152
24150, 1.81482, 0.75968990, 0.23437286, 0.00593724, 2.072226, 0.003824, 0.001912, 0.015304, 0.007652
24151, 1.01482, 0.66634213, 0.30437286, 0.02928500, 1.372226, 0.007824, 0.003912, 0.005304, 0.002652
24152, 0.91482, 0.64922197, 0.34812286, 0.00265516, 2.334726, 0.007324, 0.003662, 0.009054, 0.004527
24153, 1.71482, 0.70564834, 0.27812286, 0.01622880, 1.634726, 0.003324, 0.001662, 0.019054, 0.009527
24154, 2.11482, 0.68027954, 0.31312286, 0.00659759, 1.984726, 0.005324, 0.002662, 0.014054, 0.007027
24155, 1.31482, 0.71773349, 0.24312286, 0.03914364, 2.684726, 0.001324, 0.000662, 0.004054, 0.002027
24156, 1.11482, 0.63040688, 0.36562286, 0.00397026, 1.459726, 0.000324, 0.000162, 0.011554, 0.005777
24157, 1.91482, 0.68028427, 0.29562286, 0.02409287, 2.159726, 0.004324, 0.002162, 0.001554, 0.000777
24158, 1.51482, 0.66760410, 0.33062286, 0.00177303, 2.509726, 0.002324, 0.001162, 0.006554, 0.003277
24159, 0.71482, 0.72849721, 0.26062286, 0.01087993, 1.809726, 0.006324, 0.003162, 0.016554, 0.008277
24160, 0.72107, 0.67240462, 0.32023224, 0.00736314, 1.399570, 0.004605, 0.002303, 0.007414, 0.003707
24161, 1.52107, 0.70627601, 0.25023224, 0.04349175, 2.099570, 0.000605, 0.000303, 0.017414, 0.008707
24162, 1.92107, 0.64180406, 0.35523224, 0.00296370, 2.449570, 0.006605, 0.003303, 0.012414, 0.006207
24163, 1.12107, 0.69667671, 0.28523224, 0.01809105, 1.749570, 0.002605, 0.001303, 0.002414, 0.001207
24164, 1.32107, 0.69518312, 0.30273224, 0.00208464, 2.274570, 0.003605, 0.001803, 0.014914, 0.007457
24165, 2.12107, 0.75454396, 0.23273224, 0.01272380, 1.574570, 0.007605, 0.003803, 0.004914, 0.002457
24166, 1.72107, 0.65759161, 0.33773224, 0.00467615, 1.924570, 0.001605, 0.000803, 0.009914, 0.004957
24167, 0.92107, 0.70411157, 0.26773224, 0.02815619, 2.624570, 0.005605, 0.002803, 0.019914, 0.009957
24168, 1.02107, 0.75570563, 0.24148224, 0.00281213, 1.662070, 0.005105, 0.002553, 0.016164, 0.008082
24169, 1.82107, 0.67440528, 0.31148224, 0.01411248, 2.362070, 0.001105, 0.000553, 0.006164, 0.003082
24170, 2.22107, 0.71718904, 0.27648224, 0.00632872, 2.012070, 0.007105, 0.003553, 0.001164, 0.000582
24171, 1.42107, 0.62262146, 0.34648224, 0.03089630, 1.312070, 0.003105, 0.001553, 0.011164, 0.005582
24172, 1.22107, 0.73679565, 0.25898224, 0.00422211, 2.537070, 0.002105, 0.001053, 0.003664, 0.001832
24173, 2.02107, 0.65006977, 0.32898224, 0.02094799, 1.837070, 0.006105, 0.003053, 0.013664, 0.006832
24174, 1.62107, 0.70431580, 0.29398224, 0.00170196, 1.487070, 0.000105, 0.000053, 0.018664, 0.009332
24175, 0.82107, 0.62749089, 0.36398224, 0.00852687, 2.187070, 0.004105, 0.002053, 0.008664, 0.004332
24176, 0.87107, 0.65612654, 0.34210724, 0.00176622, 2.405820, 0.006355, 0.003178, 0.001789, 0.000894
24177, 1.67107, 0.71703851, 0.27210724, 0.01085425, 1.705820, 0.002355, 0.001178, 0.011789, 0.005894
24178, 2.07107, 0.68849775, 0.30710724, 0.00439501, 1.355820, 0.004355, 0.002178, 0.016789, 0.008394
24179, 1.27107, 0.73645624, 0.23710724, 0.02643652, 2.055820, 0.000355, 0.000178, 0.006789, 0.003394
24180, 1.47107, 0.63415892, 0.35960724, 0.00623384, 1.880820, 0.001355, 0.000678, 0.019289, 0.009644
24181, 2.27107, 0.67318027, 0.28960724, 0.03721249, 2.580820, 0.005355, 0.002678, 0.009289, 0.004644
24182, 1.87107, 0.67260460, 0.32460724, 0.00278816, 2.230820, 0.003355, 0.001678, 0.004289, 0.002144
24183, 1.07107, 0.72841287, 0.25460724, 0.01697990, 1.530820, 0.007355, 0.003678, 0.014289, 0.007144
24184, 0.97107, 0.69612838, 0.29835724, 0.00551438, 2.143320, 0.007855, 0.003928, 0.010539, 0.005269
